Epoch,Loss,Training Accuracy,Testing Accuracy,Training Precision,Testing Precision
1,0.011590722972214714,84.96376811594203,79.25347222222221,84.37918421411949,82.97374383080083
2,0.006566529845994727,89.56068840579711,80.98958333333334,90.73701752903045,87.57763504208616
3,0.005593014729066686,90.0588768115942,83.33333333333334,90.3269202621385,89.98471790092839
4,0.005125669323720591,90.53442028985508,81.51041666666666,92.28476615023398,87.35808678324102
5,0.004858557227059967,91.48550724637681,84.28819444444444,92.53680946167374,90.7299249723646
6,0.004565696359213397,90.85144927536231,83.59375,92.65543280728268,89.88020321872192
7,0.004261895766657607,91.16847826086956,82.55208333333334,92.36914260281011,87.71562426486268
8,0.0036890602881459334,92.98007246376811,83.68055555555556,94.25589741079743,90.42374213770519
9,0.0037047201059041603,93.77264492753623,84.375,94.63349210483175,89.92182806762492
10,0.0036132885202915708,93.11594202898551,83.42013888888889,93.62904438465362,88.89470525052381
11,0.0037379555667107745,93.09329710144928,84.54861111111111,94.51631653507076,90.20835282321696
12,0.0034094310743780338,92.50452898550725,83.76736111111111,93.01002050069694,89.06117502116902
13,0.0033866215282137738,94.22554347826086,85.06944444444444,95.49804017365923,91.45991983316823
14,0.0034029118283067025,94.47463768115942,85.50347222222221,95.37998064250256,91.68609321779742
15,0.0032133203747619957,94.02173913043478,85.06944444444444,94.9797041619061,90.4664879981078
16,0.003120815248239707,93.07065217391305,84.63541666666666,93.44337246098266,89.36007870992518
17,0.0032008417415083494,93.38768115942028,83.85416666666666,93.77891560994607,88.7142622370382
18,0.0031554395406345618,94.06702898550725,85.06944444444444,94.5515473942902,90.20310174642962
19,0.0030792532633822736,93.9538043478261,84.98263888888889,94.73884716945696,89.57145918290375
20,0.0028377600154206907,93.02536231884058,84.375,92.66875280140141,89.52001221124759
21,0.0028123971045795762,94.15760869565217,85.32986111111111,95.85959858683657,91.55582633516752
22,0.002926612476025231,94.29347826086956,85.59027777777779,95.99784903265804,91.46830027658758
23,0.0029632907931024495,93.88586956521739,83.50694444444444,94.06970924840125,88.05307766844533
24,0.003406567114903007,94.47463768115942,84.80902777777779,95.89865660418609,90.73060171019769
25,0.002873879651633782,94.58786231884058,84.375,95.48982056420822,90.49853214325489
26,0.002591511770727763,94.67844202898551,84.63541666666666,96.85636366493414,91.84699654770786
27,0.0024873634883971745,95.17663043478261,85.15625,96.29644958681149,91.57308267909836
28,0.0029196534228983217,94.24818840579711,84.20138888888889,95.5879060650702,89.64301246369698
29,0.003083057266230653,94.81431159420289,84.80902777777779,96.04361462822885,90.75962561789743
30,0.002829356877923722,94.83695652173914,84.72222222222221,96.20845050668633,90.86568151053804
31,0.0024553216596011934,95.5163043478261,86.71875,96.81463028554303,93.43718718655978
32,0.0029655945146717577,95.42572463768117,85.32986111111111,95.96177203396456,90.75623237632729
33,0.0026932383318091072,95.60688405797102,85.41666666666666,96.85983655064571,92.19981853937223
34,0.0026648108404399495,95.1086956521739,84.72222222222221,95.83547544116485,89.62010954006693
35,0.0027214384421801806,94.97282608695652,85.32986111111111,96.15273865903126,90.98137575224197
36,0.0026089195571805664,94.61050724637681,85.32986111111111,95.76579408821021,91.1403186972369
37,0.0022687207940303464,95.19927536231883,85.67708333333334,96.48087597619033,91.98355977077325
38,0.002187228117754476,95.33514492753623,84.72222222222221,96.37083916750541,90.53555550846902
39,0.002465903397058807,95.5163043478261,84.375,96.9532934195584,90.6694201239388
40,0.0025459764965773176,95.44836956521739,84.46180555555556,96.87443823233153,90.75392271933227
41,0.0025778263841442404,95.78804347826086,85.06944444444444,96.7238819981221,91.7815683409893
42,0.0024993268177118137,96.19565217391305,85.24305555555556,97.3446050865566,91.8273856350155
43,0.0024770315229469325,95.69746376811594,84.02777777777779,96.99609562090208,89.82019136970654
44,0.002690147950828731,95.8786231884058,84.375,96.96405761373155,89.94279207269284
45,0.002664634770108515,95.92391304347827,85.50347222222221,97.08157419298824,91.4356091712716
46,0.002377027953871612,95.13134057971014,83.15972222222221,95.78235902756927,87.58942426368506
47,0.002310544464098653,95.85597826086956,84.11458333333334,96.82792053026499,90.29548303380692
48,0.0022260450628286484,95.44836956521739,85.24305555555556,97.19505545100418,92.80293818579891
49,0.0021118550406859404,96.55797101449275,84.63541666666666,97.1339277676832,90.58607341265945
50,0.002193309604868935,96.35416666666666,84.46180555555556,97.29896887704713,91.09238015719438
51,0.0027286795904393813,94.63315217391305,83.59375,94.76068124158904,88.00132406100255
52,0.0023811592069120716,96.39945652173914,85.24305555555556,97.6470416302174,90.85683539690513
53,0.0022705704431321837,95.3125,83.85416666666666,96.99602496646891,90.69112096107801
54,0.0022207957092334543,96.78442028985508,84.98263888888889,98.00103830402473,90.98690835036997
55,0.0022239931077994305,96.46739130434783,84.46180555555556,97.2767255450078,89.69495913600817
56,0.00239523497216342,96.53532608695652,83.85416666666666,98.00107707645851,89.54920847393119
57,0.002052947445614665,96.28623188405797,85.24305555555556,97.43704898821093,91.07395489102808
58,0.0022297214817402562,96.76177536231883,82.98611111111111,97.70769390890295,88.76724912127396
59,0.002064336070792594,96.35416666666666,84.98263888888889,97.89315306987938,91.65343506638143
