Epoch,Loss,Training Accuracy,Testing Accuracy,Training Precision,Testing Precision
1,0.019893833932037423,41.96105072463768,36.37152777777778,32.953333792326575,32.36111110919264
2,0.017782252701895703,53.73641304347826,48.00347222222222,35.26322356934954,34.660751387826394
3,0.015635864080145858,66.96105072463769,63.888888888888886,37.289375394175536,37.041698856166086
4,0.013997435064407579,67.79891304347827,63.62847222222222,47.81024751867446,45.7774027804334
5,0.012827862617512781,70.3125,64.75694444444444,53.92473452554595,51.6150837121808
6,0.01199345679921256,71.71648550724638,65.97222222222221,55.128945508879525,52.621130403571584
7,0.011235041132386292,74.61503623188406,69.18402777777779,55.60743775194379,53.49753453418471
8,0.011168950064044607,75.45289855072464,68.75,56.52525453202525,53.508533383197985
9,0.010427347899138873,75.58876811594203,70.3125,56.46252815099587,53.93589873819653
10,0.010032618215169303,73.02989130434783,66.14583333333334,61.35788959798047,57.363717012815286
11,0.009806047083586318,80.16304347826086,75.08680555555556,72.24649148988667,72.52474178243534
12,0.009657865586519022,79.27989130434783,75.17361111111111,73.67115170540329,74.8028868054851
13,0.009742285718238212,80.32155797101449,75.08680555555556,73.36440999403241,72.05443117183518
14,0.009091514196011258,82.17844202898551,76.73611111111111,75.85778798403226,75.23802483698636
15,0.008821755210594995,83.9447463768116,79.94791666666666,78.51068221322815,79.37220970307709
16,0.008604518160920532,80.04981884057972,75.43402777777779,74.46678163384294,74.38884041860298
17,0.008794870067090753,82.83514492753623,78.73263888888889,77.25809143045662,77.80951460435854
18,0.008585008088325165,81.99728260869566,76.73611111111111,77.12882147040912,76.67868378265597
19,0.008072726302169857,84.51086956521739,78.90625,79.6222359053026,79.21115640513645
20,0.008252873422627488,84.78260869565217,78.99305555555556,80.9035698125689,79.8639010302234
21,0.008122468218685399,85.48460144927536,78.64583333333334,81.75108937023239,79.12889292808958
22,0.007516231483461439,86.75271739130434,82.03125,82.69269691702429,82.63660873184193
23,0.00799173898277864,87.7038043478261,81.77083333333334,85.59776776711465,83.89085895246285
24,0.0077348112527325435,88.51902173913044,83.07291666666666,86.43453202548315,85.76402762879783
25,0.007700342073777091,88.38315217391305,82.20486111111111,85.03878768184113,83.05846836158541
26,0.007197159365516098,87.81702898550725,82.03125,84.71095210987998,84.0726421479517
27,0.007539692538851013,87.9302536231884,82.8125,87.49684138878399,86.52620637398532
28,0.007189288018331082,88.6322463768116,82.03125,87.763936864893,86.01707750036365
29,0.007734582429080792,87.54528985507247,82.11805555555556,86.93685647590841,86.34281962246368
30,0.007083456956471575,88.47373188405797,82.20486111111111,88.089958377122,85.78806760964119
31,0.007441221530643982,88.81340579710145,82.89930555555556,88.43997732694015,86.2980813028802
32,0.007482705615617943,89.10778985507247,82.55208333333334,88.81770143047106,86.62420962743433
33,0.006778333544403342,88.76811594202898,81.68402777777779,88.78337348505988,85.48154328669133
34,0.007249033025625537,88.45108695652173,81.16319444444444,87.79010101393659,85.10108136924458
