Epoch,Loss,Training Accuracy,Testing Accuracy,Training Precision,Testing Precision
1,0.020110264748307568,40.67028985507246,35.50347222222222,10.288725939502683,9.363553113544539
2,0.01852395379357552,39.65126811594203,35.15625,15.054773944978306,14.509313349898733
3,0.017029178295520114,40.98731884057971,35.9375,20.837955492796638,18.87330324330858
4,0.01639615413139546,46.35416666666667,45.65972222222222,23.948753022046105,22.948605389281006
5,0.015799070693941753,51.83423913043478,45.92013888888889,39.538582174450745,37.401507105733515
6,0.014134488747165795,71.05978260869566,67.44791666666666,53.263520311341296,52.0605153192769
7,0.012114795889469815,74.54710144927536,68.92361111111111,55.183164747499994,52.044507247822736
8,0.010888131043432395,78.39673913043478,73.95833333333334,57.55039917244993,56.02341981002321
9,0.009752657185936061,80.07246376811594,73.69791666666666,58.66251768421663,55.858087790677324
10,0.008751110888259549,83.03894927536231,75.86805555555556,62.01842333222235,58.727744657508794
11,0.008206282299281697,83.2427536231884,76.99652777777779,63.97949984424114,61.713647124317994
12,0.007736297216741018,84.26177536231883,77.25694444444444,64.32055096290019,61.63113509658101
13,0.007378280787676655,84.35235507246377,77.25694444444444,64.92233409310558,62.63193538977574
14,0.006808227605906022,88.31521739130434,81.94444444444444,85.70447295202896,85.40391067583056
15,0.006763040568717131,89.83242753623189,83.68055555555556,87.82385689429245,87.4148869220455
16,0.005857521676612927,88.45108695652173,81.77083333333334,86.74254364636877,85.53510312380685
17,0.005606172020751112,84.69202898550725,79.42708333333334,87.40564957623252,86.76480686722898
18,0.005852604255858744,90.89673913043478,83.59375,90.03929697450029,87.87515194002724
19,0.00532309667273031,90.60235507246377,83.94097222222221,89.57450036538697,88.44487354177495
20,0.004776101332331993,91.59873188405797,84.46180555555556,92.10735006645172,89.29173497194674
21,0.0051382877117007505,92.09692028985508,84.89583333333334,92.08420364825372,89.93022817280972
22,0.0047881831777795095,91.25905797101449,83.68055555555556,92.3540981349669,89.34903246367554
23,0.004653191479054424,92.98007246376811,84.89583333333334,93.41645342304925,90.0302816513965
24,0.004434551364177962,92.6177536231884,85.76388888888889,93.2695679864639,90.97597815728864
25,0.0042837339664248564,91.50815217391305,84.20138888888889,93.57006250291452,90.7920405078427
26,0.004334278507149624,92.79891304347827,85.41666666666666,94.7739377920416,92.15063002640417
27,0.0038537565127056087,92.88949275362319,86.45833333333334,92.85577185574475,90.6338241329646
28,0.004135993045543881,91.00996376811594,84.46180555555556,91.54544946922154,90.31396871346485
29,0.0037259092839566203,93.47826086956522,86.54513888888889,94.26277223853656,92.49610037570642
30,0.003633016645293734,93.11594202898551,86.02430555555556,94.74721916185412,92.07959431910157
31,0.0035769797376707865,93.65942028985508,86.80555555555556,94.37861891231213,91.8348738741082
32,0.0035722024489525366,92.27807971014492,85.85069444444444,90.42018732907565,88.90863070673338
33,0.0034451787432572037,93.45561594202898,86.02430555555556,94.03198116293137,91.64477822803282
34,0.0035858903614604397,93.84057971014492,87.15277777777779,95.05612484320936,92.97640428052254
35,0.003323918304087698,92.93478260869566,84.54861111111111,95.3588562628714,91.50822558178444
36,0.003301525038626902,92.59510869565217,86.28472222222221,93.80423057699213,91.2942897883201
37,0.003433123956529183,93.84057971014492,86.63194444444444,95.72836853070312,92.95439400326575
38,0.003058868280238891,94.13496376811594,86.54513888888889,93.85641093032385,90.12508525404574
39,0.003073143197426711,94.20289855072464,85.76388888888889,95.76308117174355,92.05732697888097
40,0.002878649134656686,94.56521739130434,86.71875,96.08413162468469,93.50004966282184
41,0.0032716358309282175,94.92753623188406,87.15277777777779,95.45183258901528,92.28165923583455
42,0.0033627813144166134,94.38405797101449,87.41319444444444,95.68056911883231,93.58429421887232
43,0.0028067562032549017,95.42572463768117,88.02083333333334,96.19014601640777,93.4321003240454
44,0.002888354833906228,94.04438405797102,86.89236111111111,95.40381059699945,93.02086942653654
45,0.0028847188233823867,93.86322463768117,85.67708333333334,93.52660527211181,90.59368630166445
46,0.0032519053678027434,92.7536231884058,85.15625,94.56707411731632,91.75769405442334
47,0.002942353776399145,94.38405797101449,86.28472222222221,95.74581823439897,92.38028676170205
48,0.003027443103082512,95.42572463768117,87.76041666666666,96.9556008518812,94.2384259963945
49,0.0029505592011987453,92.98007246376811,85.41666666666666,95.02305167937956,91.49280168035658
50,0.002819051335230265,95.58423913043478,87.76041666666666,96.59794512337429,93.225934953608
51,0.0025517233356314446,95.40307971014492,87.32638888888889,96.85234260838418,93.55057144811846
52,0.0025780679142456005,94.65579710144928,87.58680555555556,94.67110085445704,92.12725963121578
53,0.002466890884957709,95.06340579710145,87.5,96.58830263878919,93.75145179961942
54,0.0025353038249883927,95.96920289855072,88.88888888888889,96.21565537542678,93.99236909402865
55,0.00225780433766018,95.85597826086956,86.97916666666666,96.29233254904274,91.80415640842087
56,0.002625160514249865,95.8786231884058,87.84722222222221,95.91550105676637,92.73359316066185
57,0.002649830071226541,95.08605072463769,88.10763888888889,96.05398489904496,93.76839881959623
58,0.0027007639180189366,95.38043478260869,87.41319444444444,96.56096445122438,92.99203266395082
59,0.002467325241140608,95.72010869565217,87.84722222222221,96.93478259871144,93.59291383350285
60,0.002220836456089966,95.53894927536231,87.06597222222221,97.13765678765702,93.76710686206256
61,0.0028274008444246625,95.42572463768117,87.5,96.60050625017698,93.39689351067886
62,0.0021703869136823744,95.72010869565217,87.93402777777779,97.58333702305629,94.12633339878948
